Value,Year announced,Month announced,Implementer,Implementer ISO
28,2010,4,Brazil,BRA
28,2012,3,Brazil,BRA
28,2018,12,France,FRA
28,2021,7,United States of America,USA
28,2023,2,Canada,CAN
28,2017,3,United States of America,USA
28,2011,5,Brazil,BRA
28,2024,4,China,CHN
28,2022,10,Canada,CAN
28,2019,6,Germany,DEU
28,2020,1,United States of America,USA
28,2025,1,Brazil,BRA
27,2018,4,Canada,CAN
27,2016,6,Brazil,BRA
27,2022,2,India,IND
27,2024,1,France,FRA
27,2015,9,Brazil,BRA
27,2024,1,Germany,DEU
27,2011,2,United States of America,USA
27,2018,8,United States of America,USA
27,2012,5,Brazil,BRA
27,2022,3,Brazil,BRA
27,2023,6,China,CHN
27,2013,2,Brazil,BRA
27,2021,4,Germany,DEU
27,2018,5,India,IND
27,2022,10,France,FRA
27,2019,12,France,FRA
27,2017,5,Canada,CAN
27,2011,12,Germany,DEU
27,2015,1,United States of America,USA
27,2023,3,China,CHN
27,2009,7,Brazil,BRA
26,2023,9,Russia,RUS
26,2018,6,Brazil,BRA
26,2018,10,Canada,CAN
26,2020,6,Japan,JPN
26,2022,2,France,FRA
26,2020,8,Brazil,BRA
26,2024,12,Russia,RUS
26,2008,12,France,FRA
26,2018,12,Canada,CAN
26,2015,3,Brazil,BRA
26,2022,4,Germany,DEU
26,2018,11,United States of America,USA
26,2023,3,Germany,DEU
26,2018,7,United States of America,USA
26,2021,3,Brazil,BRA
26,2022,5,Canada,CAN
26,2019,6,United States of America,USA
26,2015,11,Brazil,BRA
26,2019,4,Japan,JPN
26,2022,12,Russia,RUS
26,2024,5,France,FRA
26,2022,8,Canada,CAN
26,2022,11,Germany,DEU
26,2023,3,Brazil,BRA
26,2019,11,Germany,DEU
25,2024,7,India,IND
25,2016,2,United States of America,USA
25,2024,7,France,FRA
25,2018,1,Germany,DEU
25,2016,4,Canada,CAN
25,2021,4,Canada,CAN
25,2010,3,Brazil,BRA
25,2021,6,India,IND
25,2020,5,India,IND
25,2023,6,India,IND
25,2018,4,United States of America,USA
25,2010,12,Germany,DEU
25,2009,9,Germany,DEU
25,2014,12,Russia,RUS
25,2018,7,Canada,CAN
25,2021,11,France,FRA
25,2024,8,China,CHN
25,2023,9,Germany,DEU
25,2009,7,Germany,DEU
25,2018,3,Brazil,BRA
25,2019,2,United States of America,USA
25,2017,12,France,FRA
25,2021,2,France,FRA
25,2023,5,China,CHN
25,2021,10,United States of America,USA
25,2022,12,China,CHN
24,2022,4,France,FRA
24,2024,12,France,FRA
24,2020,8,Germany,DEU
24,2013,3,Japan,JPN
24,2023,12,Russia,RUS
24,2017,4,Brazil,BRA
24,2016,12,France,FRA
24,2021,5,Canada,CAN
24,2024,11,Brazil,BRA
24,2009,2,India,IND
24,2024,11,Germany,DEU
24,2015,3,Canada,CAN
24,2012,11,Germany,DEU
24,2022,12,Mexico,MEX
24,2009,12,Canada,CAN
24,2016,1,United States of America,USA
24,2009,12,Switzerland,CHE
24,2016,5,United States of America,USA
24,2008,11,United States of America,USA
24,2012,12,Russia,RUS
23,2021,8,Canada,CAN
23,2009,7,Canada,CAN
23,2020,11,France,FRA
23,2020,9,France,FRA
23,2010,5,Brazil,BRA
23,2023,12,India,IND
23,2008,11,Germany,DEU
23,2010,3,India,IND
23,2022,11,China,CHN
23,2011,1,Brazil,BRA
23,2019,5,Germany,DEU
23,2023,11,Germany,DEU
23,2020,3,Germany,DEU
23,2023,10,Canada,CAN
23,2020,4,France,FRA
23,2019,2,France,FRA
23,2024,6,China,CHN
23,2023,10,Japan,JPN
23,2021,11,Canada,CAN
23,2024,2,France,FRA
23,2025,1,India,IND
23,2015,5,United States of America,USA
23,2023,5,Brazil,BRA
23,2020,3,Canada,CAN
23,2016,6,Canada,CAN
23,2010,12,Canada,CAN
23,2022,6,China,CHN
23,2018,10,Germany,DEU
23,2015,12,Canada,CAN
23,2015,7,Brazil,BRA
23,2021,2,Germany,DEU
22,2023,7,France,FRA
22,2009,8,Germany,DEU
22,2015,2,Brazil,BRA
22,2019,1,United States of America,USA
22,2010,10,Brazil,BRA
22,2011,7,Germany,DEU
22,2022,6,Russia,RUS
22,2017,11,Canada,CAN
22,2024,12,India,IND
22,2024,10,Russia,RUS
22,2016,3,United States of America,USA
22,2020,2,India,IND
22,2025,3,China,CHN
22,2013,7,Germany,DEU
22,2021,1,Argentina,ARG
22,2014,7,Germany,DEU
22,2019,6,Canada,CAN
22,2016,7,Canada,CAN
22,2019,1,Germany,DEU
22,2025,1,China,CHN
22,2022,1,France,FRA
22,2020,6,India,IND
22,2022,7,China,CHN
22,2011,5,Germany,DEU
22,2023,7,Russia,RUS
22,2023,4,Germany,DEU
22,2017,3,Canada,CAN
22,2014,1,Russia,RUS
22,2010,1,Brazil,BRA
22,2024,9,China,CHN
22,2013,10,Germany,DEU
22,2022,10,India,IND
22,2015,12,Russia,RUS
22,2018,4,Germany,DEU
22,2017,11,Brazil,BRA
22,2020,1,Germany,DEU
21,2018,11,Brazil,BRA
21,2023,5,Argentina,ARG
21,2018,2,Canada,CAN
21,2014,12,France,FRA
21,2010,6,Canada,CAN
21,2013,11,Germany,DEU
21,2022,7,Canada,CAN
21,2018,12,China,CHN
21,2016,3,Canada,CAN
21,2022,9,India,IND
21,2015,5,Brazil,BRA
21,2019,8,United States of America,USA
21,2011,6,Germany,DEU
21,2020,11,Germany,DEU
21,2021,9,France,FRA
21,2012,1,Brazil,BRA
21,2016,8,United States of America,USA
21,2021,5,France,FRA
21,2023,10,Germany,DEU
21,2018,8,India,IND
21,2023,10,Brazil,BRA
21,2017,1,Brazil,BRA
21,2019,3,Canada,CAN
21,2023,11,China,CHN
21,2011,3,Germany,DEU
21,2019,5,Canada,CAN
21,2023,8,Germany,DEU
21,2022,6,France,FRA
21,2021,9,Germany,DEU
21,2020,7,India,IND
21,2010,7,Germany,DEU
20,2018,7,Germany,DEU
20,2017,10,Brazil,BRA
20,2017,11,United States of America,USA
20,2016,10,Canada,CAN
20,2020,7,Canada,CAN
20,2024,1,India,IND
20,2009,10,Germany,DEU
20,2018,8,Canada,CAN
20,2009,3,Germany,DEU
20,2014,11,Brazil,BRA
20,2018,1,India,IND
20,2008,11,India,IND
20,2024,9,Germany,DEU
20,2022,7,France,FRA
20,2021,3,France,FRA
20,2024,2,China,CHN
20,2010,12,Argentina,ARG
20,2023,5,Germany,DEU
20,2013,3,Germany,DEU
20,2022,6,India,IND
20,2015,3,Japan,JPN
20,2023,6,Japan,JPN
20,2011,8,Brazil,BRA
20,2016,11,Canada,CAN
20,2017,11,Germany,DEU
20,2018,12,Argentina,ARG
19,2015,8,Brazil,BRA
19,2018,6,India,IND
19,2020,10,Germany,DEU
19,2012,4,Brazil,BRA
19,2020,2,United States of America,USA
19,2021,1,Germany,DEU
19,2013,12,France,FRA
19,2019,3,India,IND
19,2022,5,India,IND
19,2014,1,Germany,DEU
19,2024,4,Russia,RUS
19,2010,2,Brazil,BRA
19,2016,12,China,CHN
19,2022,10,Brazil,BRA
19,2016,1,India,IND
19,2018,11,China,CHN
19,2021,9,India,IND
19,2024,6,Canada,CAN
19,2018,8,Germany,DEU
19,2020,6,France,FRA
19,2013,4,India,IND
19,2022,12,India,IND
19,2010,3,Argentina,ARG
19,2023,4,China,CHN
19,2022,9,Canada,CAN
19,2024,5,Brazil,BRA
19,2015,11,Germany,DEU
19,2016,3,Germany,DEU
19,2016,8,Brazil,BRA
18,2021,3,Japan,JPN
18,2011,1,Germany,DEU
18,2015,5,Germany,DEU
18,2009,5,India,IND
18,2024,12,China,CHN
18,2023,1,Brazil,BRA
18,2010,4,Germany,DEU
18,2012,9,Germany,DEU
18,2011,8,Canada,CAN
18,2022,8,Germany,DEU
18,2016,7,France,FRA
18,2024,6,India,IND
18,2022,11,India,IND
18,2016,5,Canada,CAN
18,2017,12,Germany,DEU
18,2021,12,China,CHN
18,2015,11,Canada,CAN
18,2010,3,Germany,DEU
18,2019,10,United States of America,USA
18,2020,6,Canada,CAN
18,2022,11,France,FRA
18,2017,8,India,IND
18,2018,6,Germany,DEU
18,2016,9,Canada,CAN
18,2020,2,China,CHN
18,2013,6,India,IND
18,2015,6,Germany,DEU
18,2018,2,Germany,DEU
18,2020,7,Germany,DEU
18,2022,4,Japan,JPN
18,2014,2,India,IND
18,2012,12,India,IND
18,2020,10,India,IND
18,2023,11,Russia,RUS
18,2022,4,Russia,RUS
18,2020,5,Russia,RUS
18,2015,7,Germany,DEU
18,2013,4,Germany,DEU
18,2017,7,France,FRA
18,2019,7,India,IND
18,2020,1,India,IND
18,2022,3,Japan,JPN
18,2015,11,United States of America,USA
18,2024,3,Brazil,BRA
17,2023,4,Japan,JPN
17,2019,2,Germany,DEU
17,2024,12,Canada,CAN
17,2016,2,Russia,RUS
17,2020,11,Canada,CAN
17,2018,10,China,CHN
17,2019,4,Germany,DEU
17,2015,12,Germany,DEU
17,2016,10,United States of America,USA
17,2023,5,Russia,RUS
17,2018,7,France,FRA
17,2012,8,Germany,DEU
17,2023,12,Brazil,BRA
17,2019,4,Canada,CAN
17,2024,4,Brazil,BRA
17,2015,1,Brazil,BRA
17,2009,4,Canada,CAN
17,2017,12,Russia,RUS
17,2016,8,Germany,DEU
17,2017,8,Canada,CAN
17,2016,10,Germany,DEU
17,2018,11,Canada,CAN
17,2010,6,Germany,DEU
17,2022,11,Brazil,BRA
17,2009,1,India,IND
17,2023,11,France,FRA
17,2024,11,China,CHN
17,2024,7,Canada,CAN
17,2011,6,Canada,CAN
17,2014,4,Germany,DEU
17,2018,8,China,CHN
17,2019,7,France,FRA
17,2017,9,Canada,CAN
17,2024,3,France,FRA
17,2023,9,India,IND
17,2024,6,Russia,RUS
17,2021,5,Brazil,BRA
17,2016,3,Brazil,BRA
17,2019,10,Canada,CAN
17,2023,8,India,IND
17,2016,7,Russia,RUS
16,2019,8,Germany,DEU
16,2023,7,India,IND
16,2022,9,Germany,DEU
16,2014,12,China,CHN
16,2015,2,United States of America,USA
16,2022,8,India,IND
16,2016,7,Germany,DEU
16,2015,6,Canada,CAN
16,2021,9,Argentina,ARG
16,2009,4,Germany,DEU
16,2021,12,Russia,RUS
16,2022,4,China,CHN
16,2023,10,Russia,RUS
16,2021,1,France,FRA
16,2023,1,Germany,DEU
16,2013,1,Germany,DEU
16,2008,12,India,IND
16,2024,9,Japan,JPN
16,2015,7,Canada,CAN
16,2025,3,France,FRA
16,2017,8,Brazil,BRA
16,2024,3,Japan,JPN
16,2009,5,Germany,DEU
16,2022,9,Brazil,BRA
16,2020,9,Germany,DEU
16,2017,4,Canada,CAN
16,2019,6,Brazil,BRA
16,2018,9,China,CHN
16,2016,5,Brazil,BRA
16,2021,3,India,IND
16,2021,9,Brazil,BRA
16,2010,12,Russia,RUS
16,2014,9,Germany,DEU
16,2024,11,Russia,RUS
16,2012,1,Germany,DEU
16,2017,12,China,CHN
16,2013,3,Brazil,BRA
16,2018,3,Germany,DEU
16,2025,2,Russia,RUS
16,2015,10,India,IND
16,2012,10,India,IND
16,2018,2,India,IND
16,2013,8,Germany,DEU
16,2023,11,Canada,CAN
16,2018,5,Germany,DEU
16,2022,5,Russia,RUS
16,2019,2,Canada,CAN
16,2010,11,Brazil,BRA
15,2024,1,China,CHN
15,2016,8,Russia,RUS
15,2024,4,Japan,JPN
15,2021,10,France,FRA
15,2023,3,Russia,RUS
15,2025,3,Germany,DEU
15,2020,3,Brazil,BRA
15,2017,9,France,FRA
15,2025,2,Brazil,BRA
15,2019,9,India,IND
15,2016,3,Japan,JPN
15,2023,7,China,CHN
15,2022,10,Argentina,ARG
15,2015,9,Germany,DEU
15,2009,1,Canada,CAN
15,2021,12,India,IND
15,2020,9,Argentina,ARG
15,2009,6,Canada,CAN
15,2023,10,India,IND
15,2015,4,Germany,DEU
15,2020,8,India,IND
15,2023,6,Brazil,BRA
15,2020,5,Germany,DEU
15,2015,1,Canada,CAN
15,2023,10,France,FRA
15,2010,8,India,IND
15,2021,4,Argentina,ARG
15,2011,12,China,CHN
15,2016,6,Germany,DEU
15,2013,11,Argentina,ARG
15,2017,4,China,CHN
15,2020,4,India,IND
15,2020,7,Japan,JPN
15,2014,10,India,IND
15,2024,3,Germany,DEU
15,2015,12,China,CHN
15,2022,9,Russia,RUS
15,2013,9,Germany,DEU
15,2021,5,India,IND
15,2021,8,Germany,DEU
15,2014,3,Germany,DEU
15,2023,9,France,FRA
15,2010,12,France,FRA
15,2021,2,Brazil,BRA
15,2021,8,India,IND
15,2010,7,France,FRA
15,2018,9,Germany,DEU
15,2020,9,Canada,CAN
15,2009,6,Germany,DEU
15,2023,3,France,FRA
15,2015,12,France,FRA
15,2012,12,France,FRA
15,2010,11,Germany,DEU
15,2019,7,Germany,DEU
14,2016,12,Russia,RUS
14,2017,8,Germany,DEU
14,2013,12,India,IND
14,2016,6,India,IND
14,2013,1,Brazil,BRA
14,2016,1,Germany,DEU
14,2024,11,Japan,JPN
14,2016,5,Argentina,ARG
14,2022,2,Brazil,BRA
14,2013,3,Russia,RUS
14,2017,1,Canada,CAN
14,2012,3,Germany,DEU
14,2012,10,Japan,JPN
14,2020,5,Brazil,BRA
14,2024,8,Russia,RUS
14,2022,3,China,CHN
14,2011,7,Argentina,ARG
14,2018,4,Japan,JPN
14,2023,2,Russia,RUS
14,2019,4,Brazil,BRA
14,2009,4,India,IND
14,2022,9,China,CHN
14,2016,3,Russia,RUS
14,2012,2,Germany,DEU
14,2017,2,Brazil,BRA
14,2010,5,Germany,DEU
14,2017,5,Germany,DEU
14,2008,12,China,CHN
14,2009,8,India,IND
14,2023,3,Japan,JPN
14,2021,1,Canada,CAN
14,2012,8,Japan,JPN
14,2013,8,India,IND
14,2016,5,India,IND
14,2020,3,Japan,JPN
14,2023,4,India,IND
14,2015,9,Canada,CAN
14,2024,4,Germany,DEU
14,2013,9,India,IND
14,2022,10,China,CHN
14,2015,10,Canada,CAN
14,2023,1,Russia,RUS
14,2012,7,Germany,DEU
14,2020,1,Brazil,BRA
14,2010,7,Brazil,BRA
14,2018,4,India,IND
14,2013,5,India,IND
14,2014,8,Germany,DEU
14,2010,9,Canada,CAN
14,2025,3,Japan,JPN
14,2021,4,India,IND
14,2019,9,Canada,CAN
14,2018,4,China,CHN
14,2022,4,Argentina,ARG
14,2018,1,Canada,CAN
14,2017,10,France,FRA
14,2017,7,Germany,DEU
13,2009,2,Germany,DEU
13,2022,4,India,IND
13,2025,2,China,CHN
13,2024,9,Russia,RUS
13,2014,10,Russia,RUS
13,2023,12,Canada,CAN
13,2017,1,Russia,RUS
13,2015,6,Russia,RUS
13,2022,3,Switzerland,CHE
13,2021,2,Canada,CAN
13,2024,3,Russia,RUS
13,2020,2,Germany,DEU
13,2018,11,Germany,DEU
13,2016,2,Canada,CAN
13,2017,10,Germany,DEU
13,2019,1,Canada,CAN
13,2015,4,India,IND
13,2012,3,India,IND
13,2024,10,India,IND
13,2023,12,Mexico,MEX
13,2019,3,Germany,DEU
13,2015,8,Germany,DEU
13,2017,2,India,IND
13,2018,9,Canada,CAN
13,2010,2,India,IND
13,2014,6,India,IND
13,2022,3,India,IND
13,2025,3,India,IND
13,2023,8,Canada,CAN
13,2025,3,Russia,RUS
13,2021,10,Germany,DEU
13,2016,9,China,CHN
13,2016,11,China,CHN
13,2023,4,Brazil,BRA
13,2018,9,Argentina,ARG
13,2019,10,India,IND
13,2015,10,Russia,RUS
13,2014,11,Russia,RUS
13,2021,11,India,IND
13,2015,7,France,FRA
13,2010,3,Japan,JPN
13,2020,12,Russia,RUS
13,2023,6,Russia,RUS
13,2016,5,Germany,DEU
13,2015,4,Canada,CAN
13,2013,2,Germany,DEU
13,2011,2,Brazil,BRA
13,2023,7,Canada,CAN
13,2022,1,Germany,DEU
13,2015,8,Canada,CAN
13,2011,9,Germany,DEU
13,2024,8,Germany,DEU
13,2017,7,India,IND
13,2025,1,Mexico,MEX
13,2022,1,Mexico,MEX
13,2012,3,Japan,JPN
13,2014,5,India,IND
13,2017,1,France,FRA
13,2009,12,China,CHN
13,2010,1,India,IND
13,2020,6,Brazil,BRA
12,2020,3,France,FRA
12,2009,11,Argentina,ARG
12,2011,8,Russia,RUS
12,2013,10,Russia,RUS
12,2015,1,Japan,JPN
12,2016,10,India,IND
12,2010,5,India,IND
12,2013,12,China,CHN
12,2020,7,Russia,RUS
12,2022,8,China,CHN
12,2013,6,Germany,DEU
